,date,city,musical,cast,theatre
1,2024-02-13 14:30:00,上海,梦微之,沈育奇 卢翰林,星空间33号 鲸·剧场
2,2024-02-13 19:30:00,上海,LIZZIE丽兹,徐丽东 朱芾 邓贤凌 王洁璐,星空间11号·MOriginal Box
3,2024-02-13 19:30:00,上海,恋爱吧！人类,潘龙 王款儿 林瀚青 罗月宁,开心麻花剧场-上海南翔印象城店
4,2024-02-13 11:00:00,成都,熊猫,,熊猫剧院
5,2024-02-13 13:20:00,成都,熊猫,,熊猫剧院
6,2024-02-13 15:20:00,成都,熊猫,,熊猫剧院
7,2024-02-13 19:30:00,南京,狄俄尼索斯,强东玥 姜呈洋 王瑞 陈津伟,布洛幕小剧场
8,2024-02-13 14:00:00,西安,丝路之声,丁辉 年蔓婷 江柏成 孙晶俐 张书豪 尉梦飞 杨雨婷 王笑语 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
9,2024-02-13 16:30:00,西安,丝路之声,梁广 田恬 刘靖 孙晶俐 张书豪 尉梦飞 孙紫薇 王笑语 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
0,2024-02-14 14:00:00,上海,嫌疑人X的献身,冒海飞 王培杰 徐丽东 桑可舟 潘珏辰 钱蒙楠 陈希琰,人民大舞台
1,2024-02-14 14:30:00,上海,月亮与六便士,吴俊鹏 黎宛曈 陈旭茂 卓群,星空间815号·缪时客小剧场
2,2024-02-14 14:30:00,上海,小说,饶恒宇 孙豆尔 田野,星空间115号·缪时客小剧场
3,2024-02-14 14:30:00,上海,嘿！亚利桑那,吴杭律 滕春鹏 施哲明 王玙璠 连江维 唐超 孙金瀚,嘿！亚利桑那
4,2024-02-14 14:30:00,上海,恋爱吧！人类,潘龙 王款儿 林瀚青 罗月宁,开心麻花剧场-上海南翔印象城店
5,2024-02-14 19:30:00,上海,嫌疑人X的献身,毛二 徐昊 徐丽东 孙豆尔 潘珏辰 刘钊 陈希琰,人民大舞台
6,2024-02-14 19:30:00,上海,月亮与六便士,吴俊鹏 陈旭 薛尚文 周钰斐,星空间815号·缪时客小剧场
7,2024-02-14 19:30:00,上海,小说,丁星辰 汤佳明 苗宸宇,星空间115号·缪时客小剧场
8,2024-02-14 19:30:00,上海,FLAMES火焰,蔡馨怡 田野 相征,星空间4号·缪时客小剧场
9,2024-02-14 19:30:00,上海,阿尔托，梵高,邵立君 施博威 张琦铭,星空间17号·NFP小剧场
10,2024-02-14 19:30:00,上海,嘿！亚利桑那,吴杭律 李磊 施哲明 王玙璠 郭俊宇 高瑞杰 陈旭茂,嘿！亚利桑那
11,2024-02-14 19:30:00,上海,I LOVE YOU…,王天择 毛珏懿 徐奕然 陈姝月,上海话剧艺术中心戏剧沙龙
12,2024-02-14 19:30:00,上海,恋爱吧！人类,潘龙 王款儿 林瀚青 罗月宁,开心麻花剧场-上海南翔印象城店
13,2024-02-14 19:30:00,上海,AI,翟松 孙彩纶,长宁来福士The Bell 钟楼演艺新空间
14,2024-02-14 19:30:00,上海,致爱,邓贤凌 傅祥安,亚洲大厦·星空间黑匣子
15,2024-02-14 19:30:00,上海,对位法,尤宣程 卜然 殷雨晴 叶宇锋,星空间138号小宇宙剧场
16,2024-02-14 20:00:00,上海,彗星来电,杜鑫艳 鞠红川 周默涵,星空间3号·MOriginal Box
17,2024-02-14 14:30:00,北京,威尼斯商人,潘蕾蕾 李嘉骏 郭禹良 周校校,时间剧场TIME THEATRE
18,2024-02-14 19:30:00,北京,我的魔法药水,肖颖婕 孙一城 陆艺火 郭禹良,时间剧场TIME THEATRE
19,2024-02-14 11:00:00,成都,熊猫,,熊猫剧院
